1247	105
1392	73
1260	21
1259	133
1236	101
1627	53
1581	14
1609	18
1755	12
1723	44
1569	91
1704	26
1696	6
1987	8
1557	13
1378	71
1466	5
1307	78
1096	138
1175	107
1369	68
1486	122
1625	13
1558	10
1491	20
1379	94
1591	16
1702	44
1711	13
1495	14
1640	57
1299	78
1254	96
1402	37
1486	5
1257	50
1485	81
1668	17
1807	15
1555	39
1742	8
1772	15
1427	27
1444	14
1587	75
1709	71
1359	84
1318	122
1309	59
1456	90
1527	60
1519	21
1800	14
1637	10
1428	39
1574	9
1828	8
1724	6
1591	49
1713	71
1625	20
