5	640.67	830
10	674.67	800
15	708	711.33
20	735.67	867.67
25	754.33	940.67
30	723.33	941.33
35	664.33	924.33
40	727.67	873
45	658.67	874.67
50	658	843.33
55	705.67	885.67
60	700	881.67
65	720.67	822
70	701.33	886.33
75	716.67	842.5
80	649.67	874.67
85	667.33	889.33
90	612.67	870.67
95	656.67	916
100	614	888.33
105	584	835.33
110	619.67	776.33
115	666	811.67
120	695	874.67
125	702	846
130	739.67	920.67
135	790.67	896.33
140	730.33	810.33
145	674	912.33
150	749	862.33
155	709.67	828
160	769	812.67
165	663	795.67
170	679.33	897.67
175	740.67	881
180	776.5	819.67
185	688	853.33
190	761.67	844.33
195	800	919
200	845.5	933.33
205	803.33	962.33
210	794.33	864.67
215	760.67	805.67
220	789.5	966
225	904.5	1010.33
230	940.5	936.33
235	882	915.67
240	783.5	956.33
245	843.5	936
250	813.5	803.67
255	658	697.33
260	702.5	795.67
265	623.5	1045.33
270	739	1029.67
275	907.5	977
280	846	1054.33
285	829	1001.33
290	975.5	1042
295	998	1200.67
300	1037.5	1172.67
305	984	1019.67
310	972.5	990.33
315	834	1173.33
320	675	1165.67
325	686	1142
330	963	1030.67
335	961.5	1089.67
340	932	1154.33
345	1054	1238.5
350	1038	1208.67
355	1238	1134.67
360	927	1088
365	850	1004
370	1066	1104
375	962.5	970.33
380	1025.5	1054.5
385	1205.5	1143.5
390	1168	1044
395	1032.5	978.33
400	1162	1104
